datetime,city,temperature,wind_speed,humidity,cloud_cover,pressure,cooling_degree,low_wind_flag,scrape_timestamp
2026-02-22 11:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 11:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 11:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 11:00:00,Kolkata,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Mumbai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Hyderabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Kolkata,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Ahmedabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Delhi,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 12:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Mumbai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Kolkata,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Ahmedabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Hyderabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 13:00:00,Delhi,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Kolkata,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Ahmedabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Hyderabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Mumbai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 14:00:00,Delhi,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Kolkata,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Hyderabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Mumbai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Delhi,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 15:00:00,Ahmedabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Mumbai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Pune,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Chennai,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Hyderabad,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Bangalore,,,,,,0.0,0,2026-02-25 11:04:06
2026-02-22 16:00:00,Ahmedabad,,,,,,0.0,0,2026-02-25 11:04:06
